2018年03月23日,,,,,,,
,,,,,,,
旭川駅MR2划票,,,,,,,
10183-05 30.3.23 ライラック 14 旭川9:00-滝川9:32 1-9D ￥*** ,,,,,,,
,,,,,,,
,,JR53.3/1946.8,,,,,
,,,,,,,
旭川-札幌,,,,,1-9D 正左窗,,
3014M,特急,铃兰14号,,,クロハ789-102,JR北海道,
圖定時刻,駅名,實際時刻,站台番線方向,正晚點,旅行記錄,運行區間,
,,,,,,,
ˇ,旭川,ˇ,③,,函館本線,,
9:00:00,,9:00:10,3,±0,複線区間,,
,近文,9:03:42,①,,,,
,レ,,1,,,,
,伊納,9:07:52,①,,,,
,レ,,,,,,
,納内,9:15:16,②,,,,
,レ,,,,,,
9:18:00,深川,9:19:40,①,+1,,,
9:19:00,11:06発,9:20:11,1,+1,,,
,,,妹背牛,,,,
,妹背牛,9:24:36,②,,,,
,レ,,,,,,
,江部乙,9:28:21,①,,,,
,レ,,,,,,
9:32:00,滝川,9:33:37,⑤,+1,,,
9:32:00,10:52発,,5,,,,
??1(6#)??2(5-4#)??1(3#)??1(2#)???1(1#),,,,,,,
同行者：贾赟、单灵奇、王轶伦、韩抒、程昊琮,,,,,,,
,,,,,,,
,,JR94.8/2041.6,,,,,
,,,,,,,
滝川-東鹿越,,,,,,,
9627D,普通,,,,キハ40 1751,JR北海道,
圖定時刻,駅名,實際時刻,站台番線方向,正晚點,旅行記錄,運行區間,
,,,,,,,
ˇ,滝川,ˇ,①,,根室本缐,,
9:42:00,,9:42:10,1,±0,"キハ40 1751,1788",,
,,,東滝川,,,,
9:50:00,東滝川,9:50:01,②,±0,,,
9:50:30, ,9:50:31,2,±0,,,
9:57:30,赤平,9:57:26,①,±0,3426D 2 キハ40 1790(±0),富良野-滝川,
9:58:00,,9:58:03,1,±0,,,
10:02:45,茂尻,10:02:42,1,±0,,,
10:03:15,,10:03:15,,±0,,,
10:07:45,平岸,10:07:50,1,±0,,,
10:08:15,,10:08:20,,±0,,,
10:15:00,芦別,10:14:59,①,-1,,,
10:15:30, ,10:15:45,1,±0,,,
10:20:15,上芦別,10:20:50,①,±0,,,
10:20:45,,10:21:17,1,+1,,,
10:26:30,野花南,10:27:00,②,+1,,,
10:27:00, ,10:27:29,1,±0,,,
10:42:00,島ノ下信号場,10:41:00,1,,,,
,,,,,,,
10:48:00,富良野,10:48:00,③,±0,本站解編拆組,,
11:15:00,,11:15:06,3,±0,8091/8098 1 DF200-62五貨,札幌貨物-富良野-札幌貨物,
,,,,,727D 4 キハ150-9 10:58:05(+1),旭川-富良野,
