空港第２ビル?(4766),10:16着,
,,
静岡?(5050),15:04着,
,15:10発,
掛川?(5056),レ,
,レ,
浜松?(5060),15:31着,
,15:36発,
豊橋?(5070),レ,
,レ,
三河安城?(5083),レ,
,レ,
名古屋?(5100),16:08着,16
,16:09発,
岐阜羽島?(5155),レ,
,レ,
米原?(5165),レ,
,レ,
京都?(6050),16:45着,14
,16:46発,
新大阪?(6100),17:00着,21
,17:02発,
,,
,,
新大阪?(6100),,10
,17:05発,
大阪?(6110),17:09着,4
,17:11発,
尼崎?(6120),17:17着,2
,17:18発,
塚口??,レ,
,レ,
猪名寺??,レ,
,レ,
伊丹??,レ,
,レ,
北伊丹??,レ,
,レ,
川西池田??,レ,
,レ,
中山寺??,レ,
,レ,
宝塚?(6235),17:36着,
,17:36発,
生瀬??,レ,
,レ,
西宮名塩??,レ,
,レ,
武田尾??,レ,
,レ,
道場??,レ,
,レ,
三田?(6238),17:49着,
,17:50発,
新三田??,レ,
,レ,
広野??,レ,
,レ,
相野??,レ,
,レ,
藍本??,レ,
,レ,
草野??,レ,
,レ,
古市??,レ,
,レ,
南矢代??,レ,
,レ,
篠山口?(6240),18:08着,
,18:10発,
丹波大山??,レ,
,レ,
下滝??,レ,
,レ,
谷川?(6241),レ,
,レ,
柏原?(6242),18:34着,
,18:35発,
石生?(6280),レ,
,レ,
黒井?(6243),レ,
,レ,
市島?(6282),レ,
,レ,
丹波竹田??,レ,
,レ,
福知山?(6420),18:54着,
,,
,,
,,
福知山?(6420),,
,19:03発,
福知山市民病院口??,レ,
,レ,
荒河かしの木台??,レ,
,レ,
牧??,レ,
,レ,
下天津??,レ,
,レ,
公庄??,レ,
,レ,
大江?(9760),19:15着,
,19:16発,
大江高校前??,レ,
,レ,
二俣??,レ,
,レ,
大江山口内宮??,レ,
,レ,
辛皮??,レ,
,レ,
喜多??,レ,
,レ,
宮村??,レ,
,レ,
宮津?(9770),19:33着,
,19:40発,
天橋立?(9772),19:45着,
,19:47発,
,,
