2018年03月22日,,,,,,,
,,,,,,,
,,JR27.5/1270.8,,,,,
,,,,,,,
札幌-石狩当別,,,,,1-,,
537M,普通,,,,クハ733-3202,JR北海道,
圖定時刻,駅名,實際時刻,站台番線方向,正晚點,旅行記錄,運行區間,
,,,,,,,
ˇ,札幌,ˇ,⑩,,札沼線（学園都市線）,,
,レ,,永山,,,,
,北旭川,13:41:30,上下本線,,进站前并为单线,,
,レ,,,,,,
,永山,13:44:08,②,,,,
,レ,13:45:04,,,,,
,北永山,13:46:40,,,,,
,レ,,,,,,
,南比布,13:48:00,,,,,
,レ,,,,,,
,比布,13:50:20,②,,,,
,レ,,,,,,
,北比布,13:53:25,,,,,
,レ,,,,,,
,蘭留,13:55:00,②,,,,
,レ,,,,,,
,塩狩,13:58:30,②,,,,
,レ,,,,,,
14:03:00,和寒,14:04:52,①,+1,3324D ②(+2),名寄-旭川,
14:03:00,14:03発,14:05:39,,+2,,,
,東六線,14:08:20,,,,,
,レ,,,,,,
,剣淵,14:11:20,,,,,
,レ,,,,,,
,北剣淵,14:13:00,,,,,
,レ,,,,,,
14:15:00,士別,14:16:07,②,+1,,,
14:15:00,14:15発,14:17:05,,+2,,,
,下士別,14:20:25,,,,,
,レ,,,,,,
,多寄,14:22:40,,,,,
,レ,,,,,,
,瑞穂,14:24:45,,,,,
,レ,,,,,,
,風連,14:26:40,②,,,,
,レ,,,,,,
,東風連,14:29:13,,,,,
,レ,,,,,,
14:29:00,名寄,14:31:24,①,+2,换司机,,
14:31:00,14:31発,14:34:28,,+3,3326D ③,名寄-旭川,
,日進,14:38:00,,,,,
,レ,,,,,,
,北星,14:45:20,,,,,
,レ,,,,,,
,智恵文,14:46:40,,,,,
,レ,,,,,,
,智北,14:48:00,,,,,
,レ,,,,,,
,南美深,14:50:00,,,,,
,レ,,,,,,
14:50:00,美深,14:52:50,①,+2,,,
14:50:00,14:50発,14:53:46,,+3,,,
,初野,14:56:55,,,,,
,レ,,,,,,
,紋穂内,14:58:25,,,,,
,レ,,,,,,
,恩根内,15:04:40,,,,,
,レ,,,,,,
,豊清水,15:09:27,①,,64D ② 15:10:50,稚内-旭川,
,レ,15:11:20,,,,,
,天塩川温泉,15:14:55,,,,,
,レ,,,,,,
,咲来,15:17:23,,,,,
,レ,,,,,,
15:22:00,音威子府,15:21:57,②,-1,,,
15:22:00,15:22発,15:23:05,2,+1,,,
,筬島,15:29:03,,,,,
,レ,,,,,,
,佐久,15:46:43,①,,,,
,レ,,,,,,
15:54:00,天塩中川,15:54:00,①,±0,,,
15:54:00,15:54発,15:55:00,,+1,,,
,歌内,16:02:13,,,,,
,レ,,,,,,
,問寒別,16:06:36,,,,,
,レ,,,,,,
,糠南,16:09:00,,,,,
,レ,,,,,,
,雄信内,16:13:52,①,,,,
,レ,,,,,,
,安牛,16:18:55,,,,,
,レ,,,,,,
,南幌延,16:20:30,,,,,
,レ,,,,,,
,上幌延,16:23:00,,,,,
,レ,,,,,,
16:26:00,幌延,16:27:21,①,+1,,,
16:27:00,16:27発,16:28:13,1,+1,,,
,下沼,16:34:25,,,,,
,レ,,,,,,
16:40:00,豊富,16:41:42,②,+1,,,
16:41:00,16:41発,16:42:42,,+1,,,
,徳満,16:46:00,,,,,
,レ,,,,,,
,兜沼,16:54:20,②,,,,
,レ,,,,,,
,勇知,16:58:39,,,,,
,レ,,,,,,
,抜海,17:06:12,①,,,,
,レ,,,,,,
17:16:00,南稚内,17:17:17,②,+1,,,
17:17:00,17:17発,17:18:17,2,+1,,,
17:21:00,稚内,17:22:22,,+1,,,
——,,——,,,,,
???1(1#)??3(2-4#),,,,,,,
同行者：贾赟、单灵奇、王轶伦、韩抒、程昊琮,,,,,,,
,,,,,,,
,,JR259.4/1893.5,,,,,
,,,,,,,
稚内-札幌,,,,,1-9D 正右窗,,
52D,特急,宗谷2号,,,キロハ261-203,JR北海道,
圖定時刻,駅名,實際時刻,站台番線方向,正晚點,旅行記錄,運行區間,
,,,,,,,
