2018年03月24日,,,,,,,
,,,,,,,
,,JR169.1/2695.1,,,,,
,,,,,,,
釧路-網走,,,,,1-,,
3728D,快速,摩周Shiredoko(しれとこ),,,キハ54 526,JR北海道,
圖定時刻,駅名,實際時刻,站台番線方向,正晚點,旅行記錄,運行區間,
,,,,,,,
ˇ,釧路,ˇ,①,,釧網本缐,,
8:57:00,08:57発,8:57:15,,±0,,,
9:01:15,東釧路,9:01:15,①,±0,,,
9:01:45,09:01発,9:02:05,1,+1,,,
,,,遠矢,,,,
9:08:15,遠矢,9:08:57,,±0,,,
9:08:45,09:08発,9:09:20,,+1,,,
,釧路湿原,9:15:50,,,,,
,レ,,,,,,
9:18:45,細岡,9:18:35,,,,,
,レ,,,,,,
9:26:30,塘路,9:27:56,②,+1,机外停车:09:26:11/09:26:54,,
9:27:00,09:27発,9:29:07,,+2,4725D ① キハ54,網走-釧路,
9:34:00,茅沼,9:39:10,,+5,运缓,,
9:34:30,09:34発,9:39:36,,+5,,,
9:47:00,標茶,9:52:49,①,+5,,,
9:47:45,09:47発,9:53:25,1,+6,,,
9:57:00,磯分内,10:02:50,,+5,,,
9:57:30,09:57発,10:03:15,,+6,,,
,南弟子屈,10:09:10,,,,,
,レ,,,,,,
10:11:00,摩周,10:16:22,①,+5,,,
10:11:45,10:11発,10:17:06,1,+6,,,
10:20:00,美留和,10:25:09,,+5,,,
10:20:30,10:20発,10:25:25,,+5,,,
10:27:30,川湯温泉,10:32:23,①,+5,,,
10:28:00,10:28発,10:33:11,1,+5,,,
10:43:00,緑,10:47:37,②,+4,,,
10:43:30,10:43発,10:48:15,2,+5,,,
10:51:00,札弦,10:55:53,,+4,,,
10:51:30,10:51発,10:56:29,,+5,,,
10:58:30,清里町,11:03:20,②,+5,,,
10:59:00,10:59発,11:04:11,2,+5,,,
,南斜里,11:08:48,,,,,
,レ,,,,,,
11:06:00,中斜里,11:10:50,,+4,,,
11:06:30,11:06発,11:11:15,,+5,,,
11:11:15,知床斜里,11:16:20,②,+5,3727D 1 キハ54(+5),網走-釧路,
11:12:00,11:12発,11:17:20,2,+5,,,
11:22:00,止別,11:27:43,,+5,,,
11:22:30,11:22発,11:28:00,,+6,,,
11:28:00,浜小清水,11:33:25,①,+5,,,
11:28:30,11:28発,11:34:10,1,+6,,,
,原生花園,11:38:01,,,,,
,レ,,,,,,
11:37:30,北浜,11:42:05,,+5,,,
11:38:00,11:38発,11:42:20,,+4,,,
11:41:00,藻琴,11:45:20,,+4,,,
11:41:30,11:41発,11:45:46,,+4,,,
11:44:15,鱒浦,11:48:44,,+4,,,
11:44:45,11:44発,11:49:40,,+5,,,
11:50:00,桂台,11:54:57,,+4,,,
11:50:30,11:50発,11:55:46,,+5,,,
11:53:30,網走,11:58:18,③,+5,,,
——,,——,3,,,,
??1(1#),,,,,,,
同行者：贾赟、单灵奇、王轶伦、韩抒、程昊琮,,,,,,,
,,,,,,,
網走駅MR划票,,,,,,,
40130-01 30.3.25 はやぶさ 38 新函館北斗17:21-盛岡19:12 9-10D ￥*** ,,,,,,,
,,,,,,,
,,JR15.9/2711.0,,,,,
,,,,,,,
網走-北見,,,,,1-,,
4670D,普通,,,,キハ40 1727,JR北海道,
圖定時刻,駅名,實際時刻,站台番線方向,正晚點,旅行記錄,運行區間,
,,,,,,,
ˇ,網走,ˇ,③,,石北本缐,,
16:36:00,,16:36:02,3,±0,"キハ40 1727,1711",,
16:45:15,呼人,16:45:11,②,±0,,,
16:45:45,レ,16:45:46,,±0,,,
16:53:45,女満別,16:53:45,①,±0,"4665D ② キハ40 1716,1791 16:55:08/(±0)",東相内-網走,
16:55:15,12:50発,16:55:43,,±0,,,
??2(1-2#),,,,,,,
同行者：贾赟、单灵奇、王轶伦、韩抒、程昊琮,,,,,,,
,,,,,,,
,,JR358.6/3069.6,,,,,
,,,,,,,
網走-札幌,,,,,3-3A 背右窗,,
74D,特急,鄂霍次克4号,,,キロハ182-6,JR北海道,
圖定時刻,駅名,實際時刻,站台番線方向,正晚點,旅行記錄,運行區間,
,,,,,,,
17:40:00,女満別,17:39:42,①,,石北本缐-函館本缐,,
17:40:00,12:50発,17:40:55,,±0,,,
,西女満別,17:46:10,,,,,
,レ,,,,,,
17:51:00,美幌,17:50:34,②,-1,,,
17:51:00,13:01発,17:51:50,,±0,,,
,緋牛内,17:55:40,②,,,,
,レ,,,,,,
,端野,18:01:58,①,,4667D ② キハ40,西留辺蘂-網走,
,レ,,,,,,
,愛し野,18:08:35,,,,,
,レ,,,,,,
,柏陽,18:11:00,,,,,
,レ,,,,,,
18:15:00,北見,18:14:00,①,-1,,,
18:15:00,13:25発,18:15:32,1,±0,,,
,西北見,18:19:35,,,,,
,レ,,,,,,
,東相内,18:21:30,①,,,,
,レ,,,,,,
,相内,18:25:00,②,,,,
,レ,,,,,,
18:34:00,留辺蘂,18:33:30,③,-1,3583D ②,旭川-北見,
18:34:00,13:44発,18:34:35,,±0,,,
,西留辺蘂,18:36:55,,,,,
,レ,,,,,,
,金華信号場,18:40:30,①,,,,
,,,,,,,
18:55:00,生田原,18:55:08,②,±0,,,
18:55:00,14:05発,18:55:50,,±0,,,
,生野,18:59:45,,,,,
,レ,,,,,,
19:05:00,安国,19:04:40,②,-1,83D ① 19:11:57(+4),旭川-網走,
19:08:00,レ,19:12:40,,+4,,,
19:16:00,遠軽,19:19:40,①,+3,"调向,正左窗",,
19:19:00,,19:22:45,1,+3,,,
,,,瀬戸瀬,,,,
,瀬戸瀬,19:32:38,②,,,,
,レ,,,,,,
19:36:00,丸瀬布,19:39:17,①,+3,,,
19:37:00,レ,19:39:57,,+2,,,
,下白滝信号場,19:48:43,,,,,
,,,,,,,
,白滝,19:57:18,①,,,,
,15:01発,,,,,,
,奥白滝信号場,20:05:25,,,,,
,,,,,,,
,上越信号場,20:14:40,,,73D ,札幌-網走,
,,,,,,,
,中越信号場,20:22:45,,,,,
,,,,,,,
20:35:00,上川,20:35:30,①,±0,3 キハ40 830(本站过夜車),旭川-上川-旭川,
20:36:00,15:40発,20:36:42,1,±0,,,
,東雲,20:39:37,,,,,
,レ,,,,,,
,安足間,20:42:20,,,,,
,レ,,,,,,
,愛山,20:44:00,,,,,
