豊橋?(5070),レ,
,レ,
西小坂井?(5072),レ,
,レ,
愛知御津?(5073),レ,
,レ,
三河大塚?(5074),レ,
,レ,
三河三谷?(5075),レ,
,レ,
蒲郡?(5077),レ,
,レ,
三河塩津??,レ,
,レ,
三ヶ根?(5078),レ,
,レ,
幸田?(5079),レ,
,レ,
相見?(3314),レ,
,レ,
岡崎?(5080),レ,
,レ,
西岡崎?(5081),レ,
,レ,
安城?(5082),レ,
,レ,
三河安城?(5083),レ,
,レ,
東刈谷?(5084),レ,
,レ,
野田新町?(5090),レ,
,レ,
刈谷?(5085),レ,
,レ,
逢妻?(5088),レ,
,レ,
大府?(5086),レ,
,レ,
共和?(5092),レ,
,レ,
南大高??,レ,
,レ,
大高?(5093),レ,
,レ,
笠寺?(5094),レ,
,レ,
熱田?(5098),レ,
,レ,
金山?(5099),レ,
,レ,
尾頭橋??,レ,
,レ,
名古屋?(5100),レ,6
,レ,
枇杷島??,レ,
,レ,
清洲??,レ,
,レ,
稲沢??,レ,
,レ,
尾張一宮?(5110),レ,
,レ,
木曽川??,レ,
,レ,
岐阜?(5150),レ,
,レ,
西岐阜??,レ,
,レ,
穂積?(5152),レ,
,レ,
大垣?(5160),レ,
,レ,
関ヶ原??,レ,
,レ,
柏原??,レ,
,レ,
近江長岡??,レ,
,レ,
醒ヶ井??,レ,
,レ,
米原?(5165),レ,
,レ,
彦根?(6000),レ,
,レ,
南彦根??,レ,
,レ,
河瀬??,レ,
,レ,
稲枝??,レ,
,レ,
能登川??,レ,
,レ,
安土??,レ,
,レ,
近江八幡?(6010),レ,
,レ,
篠原??,レ,
,レ,
野洲?(6013),レ,
,レ,
守山?(6015),レ,
,レ,
栗東??,レ,
,レ,
草津?(6020),レ,
,レ,
南草津??,レ,
,レ,
瀬田??,レ,
,レ,
石山?(6025),レ,
,レ,
膳所??,レ,
,レ,
大津?(6030),レ,
,レ,
山科?(6040),レ,
,レ,
京都?(6050),レ,6
,レ,
西大路??,レ,
,レ,
桂川??,レ,
,レ,
向日町??,レ,
,レ,
長岡京??,レ,
,レ,
山崎??,レ,
,レ,
島本??,レ,
,レ,
高槻??,レ,
,レ,
摂津富田??,レ,
,レ,
茨木??,レ,
,レ,
千里丘??,レ,
,レ,
岸辺??,レ,
,レ,
吹田??,レ,
,レ,
東淀川??,レ,
,レ,
新大阪?(6100),レ,17
,レ,
大阪?(6110),レ,3
,レ,
塚本??,レ,
,レ,
尼崎?(6120),レ,1
,レ,
立花??,レ,
,レ,
甲子園口??,レ,
,レ,
西宮??,レ,
,レ,
さくら夙川??,レ,
,レ,
芦屋??,レ,
,レ,
甲南山手??,レ,
,レ,
摂津本山??,レ,
,レ,
住吉??,レ,
,レ,
六甲道??,レ,
,レ,
摩耶??,レ,
,レ,
灘??,レ,
,レ,
三ノ宮?(6140),レ,
,レ,
元町??,レ,
,レ,
神戸?(6150),レ,
,レ,
兵庫??,レ,
,レ,
新長田??,レ,
,レ,
鷹取??,レ,
,レ,
須磨海浜公園??,レ,
,レ,
須磨??,レ,
,レ,
塩屋??,レ,
,レ,
垂水??,レ,
,レ,
舞子??,レ,
,レ,
朝霧??,レ,
,レ,
明石?(6160),レ,
,レ,
西明石?(6170),レ,
,レ,
大久保??,レ,
,レ,
魚住??,レ,
,レ,
土山??,レ,
,レ,
東加古川??,レ,
,レ,
加古川?(6176),レ,
,レ,
宝殿??,レ,
,レ,
曽根??,レ,
,レ,
ひめじ別所??,レ,
,レ,
御着??,レ,
,レ,
東姫路??,レ,
,レ,
姫路?(6180),05:25着,8
,05:26発,
英賀保??,レ,
,レ,
はりま勝原??,レ,
,レ,
網干??,レ,
,レ,
竜野??,レ,
,レ,
相生?(6190),レ,
,レ,
有年??,レ,
,レ,
上郡?(6192),レ,
,レ,
三石??,レ,
,レ,
吉永??,レ,
,レ,
和気??,レ,
,レ,
熊山??,レ,
,レ,
万富??,レ,
,レ,
瀬戸??,レ,
,レ,
