成田空港 (4767),,
,レ,
松下  ,レ,
,レ,
二見浦 (5557),14:12着,
,14:13発,
五十鈴ヶ丘  ,レ,
,レ,
伊勢市 (5555),14:18着,
,14:20発,
山田上口  ,レ,
,レ,
宮川  ,レ,
,レ,
田丸  ,レ,
,レ,
外城田  ,レ,
,レ,
多気 (6310),14:33着,
,14:35発,
徳和  ,レ,
,レ,
松阪 (6305),14:42着,
,14:47発,
六軒  ,レ,
,レ,
高茶屋  ,レ,
,レ,
阿漕  ,レ,
,レ,
津 (6300),15:01着,
,15:02発,
東一身田  ,レ,
,レ,
河芸  ,レ,
,レ,
伊勢上野  ,レ,
,レ,
中瀬古 (9831),レ,
,レ,
徳田  ,レ,
,レ,
鈴鹿サーキット稲生 (9828),レ,
,レ,
玉垣  ,レ,
,レ,
鈴鹿 (9825),15:15着,
,15:16発,
河原田  ,レ,
,レ,
南四日市  ,レ,
,レ,
四日市 (5520),15:24着,
,15:26発,
富田浜  ,レ,
,レ,
富田 (5518),レ,
,レ,
朝日  ,レ,
,レ,
朝明信号場  ,レ,
,レ,
桑名 (5516),15:37着,
,15:38発,
長島  ,レ,
,レ,
弥富  ,レ,
,レ,
白鳥信号場  ,レ,
,レ,
永和  ,レ,
,レ,
蟹江  ,レ,
,レ,
春田  ,レ,
,レ,
八田  ,レ,
,レ,
笹島信号場  ,レ,
,レ,
名古屋 (5100),16:03着,12
,,
,,
,,
名古屋 (5100),,
,16:09発,
金山 (5099),16:13着,
,16:13発,
,,
,,
金山 (5099),18:55着,
,18:55発,
西高蔵  ,18:57着,
,18:57発,
神宮西  ,18:59着,
,18:59発,
伝馬町  ,19:00着,
,19:00発,
,,
,,
熱田 (5098),20:30着,
,20:31発,
金山 (5099),20:33着,
,20:33発,
,,
,,
金山 (5099),09:00着,
,09:00発,
尾頭橋  ,レ,
,レ,
名古屋 (5100),09:04着,3
,,
,,
,,
名古屋 (5100),,
,09:30発,
ささしまライブ  ,09:31着,
,09:32発,
笹島信号場  ,レ,
,レ,
小本  ,09:34着,
,09:35発,
荒子  ,09:36着,
,09:37発,
南荒子  ,09:38着,
,09:38発,
中島  ,09:40着,
,09:40発,
名古屋競馬場前  ,09:42着,
,09:42発,
荒子川公園  ,09:44着,
,09:44発,
稲永  ,09:46着,
,09:47発,
野跡  ,09:50着,
,09:50発,
金城ふ頭  ,09:54着,
,,
,,
,,
金城ふ頭  ,,
,13:14発,
野跡  ,13:17着,
,13:17発,
稲永  ,13:20着,
,13:21発,
荒子川公園  ,13:23着,
,13:23発,
名古屋競馬場前  ,13:25着,
,13:25発,
