駅名(駅名コード),時刻,番線
新潟?(3200),16:14着,14
,,
,,
,,
新潟?(3200),,9
,10:21発,
越後石山??,レ,
,レ,
亀田?(3108),レ,
,レ,
荻川??,レ,
,レ,
さつき野??,レ,
,レ,
新津?(3105),10:35着,
,10:35発,
古津??,レ,
,レ,
矢代田??,レ,
,レ,
田上??,レ,
,レ,
羽生田??,レ,
,レ,
加茂?(3100),10:49着,
,10:49発,
保内??,レ,
,レ,
東三条?(3090),10:55着,
,10:56発,
三条??,レ,
,レ,
東光寺??,レ,
,レ,
帯織??,レ,
,レ,
見附?(3085),11:05着,
,11:05発,
押切??,レ,
,レ,
北長岡??,レ,
,レ,
長岡?(3080),11:15着,
,11:17発,
宮内?(3079),レ,
,レ,
前川??,レ,
,レ,
来迎寺?(3078),レ,
,レ,
越後岩塚??,レ,
,レ,
塚山??,レ,
,レ,
長鳥??,レ,
,レ,
越後広田??,レ,
,レ,
北条??,レ,
,レ,
安田??,レ,
,レ,
茨目??,レ,
,レ,
柏崎?(3075),11:43着,
,11:44発,
鯨波??,レ,
,レ,
青海川??,レ,
,レ,
笠島??,レ,
,レ,
米山??,レ,
,レ,
柿崎?(3071),11:58着,
,11:58発,
上下浜??,レ,
,レ,
潟町??,レ,
,レ,
土底浜??,レ,
,レ,
犀潟??,レ,
,レ,
黒井??,レ,
,レ,
直江津?(3068),12:10着,
,12:12発,
春日山??,レ,
,レ,
高田??,12:19着,
,12:19発,
南高田??,レ,
,レ,
上越妙高?(3055),12:25着,
,,
,,
,,
上越妙高?(3055),12:58着,
,12:59発,
飯山?(5755),レ,
,レ,
長野?(5500),13:18着,13
,13:20発,
,,
,,
長野??,,
,14:08発,
市役所前??,14:09着,
,14:09発,
権堂??,14:10着,
,14:11発,
善光寺下??,14:12着,
,14:12発,
,,
,,
長野?(5500),08:53着,13
,08:55発,
上田?(5485),レ,
,レ,
佐久平?(5470),レ,
,レ,
軽井沢?(4582),レ,
,レ,
安中榛名?(5460),レ,
,レ,
高崎?(4400),レ,13
,レ,
本庄早稲田?(4388),レ,
,レ,
熊谷?(4380),レ,
,レ,
大宮?(4320),09:54着,
,09:55発,
,,
,,
大宮?(4320),10:47着,
,10:48発,
熊谷?(4380),レ,
,レ,
本庄早稲田?(4388),レ,
,レ,
高崎?(4400),レ,12
,レ,
安中榛名?(5460),レ,
,レ,
軽井沢?(4582),レ,
,レ,
佐久平?(5470),レ,
,レ,
上田?(5485),レ,
,レ,
長野?(5500),11:44着,12
,11:46発,
,,
,,
長野?(5500),,6
,13:00発,
安茂里??,レ,
,レ,
川中島?(5497),レ,
,レ,
今井??,レ,
,レ,
篠ノ井?(5495),13:08着,
,13:08発,
稲荷山??,レ,
,レ,
姨捨?(5410),レ,
,レ,
冠着??,レ,
,レ,
聖高原?(5405),レ,
,レ,
坂北??,レ,
,レ,
西条??,レ,
,レ,
明科?(5402),レ,
,レ,
田沢??,レ,
,レ,
松本?(5400),13:51着,1
,13:52発,
,,
,,
松本?(5400),,2
,14:49発,
南松本??,レ,
,レ,
平田??,レ,
,レ,
村井??,レ,
,レ,
広丘??,レ,
,レ,
塩尻?(5355),14:57着,
,14:58発,
みどり湖??,レ,
,レ,
岡谷?(5345),15:05着,
,15:05発,
下諏訪?(5340),レ,
,レ,
上諏訪?(5335),15:12着,
,15:12発,
,,
,,
上諏訪?(5335),16:49着,
,16:49発,
下諏訪?(5340),16:54着,
,16:55発,
岡谷?(5345),17:00着,
,17:03発,
みどり湖??,17:09着,
,17:10発,
塩尻?(5355),17:13着,
,17:14発,
広丘??,17:17着,
,17:18発,
村井??,17:21着,
,17:21発,
平田??,17:24着,
,17:24発,
南松本??,17:27着,
,17:27発,
松本?(5400),17:31着,4
,17:34発,
,,
,,
松本?(5400),,0
,13:24発,
南松本??,13:27着,
,13:27発,
平田??,13:29着,
,13:30発,
村井??,13:32着,
,13:32発,
広丘??,13:35着,
,13:36発,
塩尻?(5355),13:40着,
,13:45発,
,,
,,
塩尻?(5355),14:46着,
,14:50発,
洗馬??,14:54着,
,14:54発,
日出塩??,14:58着,
,14:59発,
贄川??,15:04着,
,15:05発,
木曽平沢?(5357),15:10着,
,15:10発,
奈良井??,15:13着,
,15:19発,
,,
,,
奈良井??,15:55着,
,15:56発,
木曽平沢?(5357),15:59着,
,16:00発,
贄川??,16:05着,
,16:06発,
日出塩??,16:11着,
,16:12発,
洗馬??,16:16着,
,16:16発,
塩尻?(5355),16:20着,
,16:24発,
,,
,,
塩尻?(5355),16:35着,
,16:39発,
広丘??,16:43着,
,16:43発,
村井??,16:46着,
,16:47発,
平田??,16:49着,
,16:50発,
南松本??,16:52着,
,16:53発,
松本?(5400),16:57着,5
,,
,,
,,
松本?(5400),,6
,07:15発,
北松本??,07:17着,
,07:17発,
島内??,07:20着,
,07:23発,
島高松??,07:25着,
,07:25発,
梓橋??,07:27着,
,07:27発,
一日市場??,07:30着,
,07:32発,
中萱??,07:34着,
,07:35発,
南豊科??,07:37着,
,07:37発,
