
旭川,--,9:00:00,--,9:00:10
近文,,レ,9:03:42,
伊納,,レ,9:07:52,
納内,,レ,9:15:16,
深川,9:18:00,9:19:00,9:19:40,9:20:11
妹背牛,,レ,9:24:36,
江部乙,,レ,9:28:21,
滝川,9:32:00,9:32:00,9:33:37,

滝川,--,9:42:00,--,9:42:10
東滝川,9:50:00,9:50:30,9:50:01,9:50:31
赤平,9:57:30,9:58:00,9:57:26,9:58:03
茂尻,10:02:45,10:03:15,10:02:42,10:03:15
平岸,10:07:45,10:08:15,10:07:50,10:08:20
芦別,10:15:00,10:15:30,10:14:59,10:15:45
上芦別,10:20:15,10:20:45,10:20:50,10:21:17
野花南,10:26:30,10:27:00,10:27:00,10:27:29
島ノ下信号場,10:42:00,,10:41:00,
富良野,10:48:00,11:15:00,10:48:00,11:15:06
布部,11:22:00,11:22:30,11:21:41,11:22:30
山部,11:29:00,11:29:30,11:28:30,11:29:30
下金山,11:38:00,11:38:30,11:37:50,11:38:30
金山,11:46:30,11:47:00,11:45:40,11:47:00
東鹿越,12:00:00,--,11:59:16,--

東鹿越,--,12:05:00,--,12:05:41
幾寅,12:13:00,12:13:00,12:13:08,12:14:12
落合,12:25:00,12:25:00,12:27:15,12:27:23
サホロリゾ一ト,,レ,12:51:32,12:54:11
新得,13:13:00,--,13:08:30,--

新得,13:51:00,13:52:00,13:58:02,13:58:45
十勝清水,,レ,14:05:00,
平野川信号場,,レ,14:10:20,
羽帯信号場,,レ,14:12:00,
御影,,レ,14:14:00,
上芽室信号場,,レ,14:16:35,
芽室,,レ,14:18:15,
大成,,レ,14:20:00,
西帯広,,レ,14:22:42,
帯広貨物,,レ,14:23:35,
柏林台,,レ,14:24:30,
帯広,14:21:00,14:22:00,14:27:20,14:28:40
札内,,レ,14:32:10,
幕別,,レ,14:37:53,
利別,,レ,14:41:40,
池田,14:39:00,14:40:00,14:44:38,14:45:15
昭栄信号場,,レ,14:47:45,
十弗,,レ,14:51:23,
豊頃,,レ,14:55:00,
新吉野,,レ,14:58:57,
浦幌,,レ,15:02:00,
常豐信号場,,レ,15:06:06,
上厚内信号場,,レ,15:12:00,
厚内,,レ,15:17:10,
直別,,レ,15:22:35,
尺別,,レ,15:25:30,
音別,,レ,15:28:35,
古瀬,,レ,15:35:10,
白糠,15:35:00,15:36:00,15:39:37,15:40:11
西庶路,,レ,15:42:00,
庶路,,レ,15:44:27,
東庶路信号場,,レ,15:46:10,
大楽毛,,レ,15:49:04,
新大楽毛,,レ,15:52:00,
新富士,,レ,15:55:45,
釧路,15:56:00,--,15:58:45,--

釧路,--,16:17:00,--,16:17:14
東釧路,16:21:30,16:22:00,16:21:29,16:22:15
武佐,16:24:00,16:24:30,16:24:05,16:24:32
別保,16:29:45,16:30:15,16:29:50,16:30:22
上尾幌,16:46:15,16:46:45,16:45:52,16:46:46
尾幌,16:55:45,16:56:15,16:55:35,16:56:20
門静,17:04:45,17:05:15,17:04:25,17:05:20
厚岸,17:11:00,17:11:30,17:10:15,17:11:50
糸魚沢,17:22:15,17:22:45,17:23:52,17:24:15
茶内,17:33:00,17:33:30,17:33:08,17:33:40
浜中,17:41:15,17:41:45,17:40:30,17:41:50
姉別,17:51:15,17:51:45,17:51:03,17:51:22
厚床,17:58:30,17:59:00,17:59:15,17:59:43
初田牛,18:06:30,,18:07:05,
別当賀,18:14:15,,18:15:45,
落石,18:25:15,18:25:45,18:26:47,18:27:19
昆布盛,18:30:30,18:31:00,18:31:47,18:32:04
西和田,18:37:15,18:37:45,18:38:10,18:39:01
東根室,18:46:00,18:46:30,18:46:32,18:47:01
根室,18:49:30,--,18:50:35,--

根室,--,19:01:00,--,19:00:59
東根室,19:03:00,19:04:00,19:03:20,19:03:59
西和田,19:12:00,19:12:00,19:12:17,19:12:50
昆布盛,19:18:00,19:19:00,19:18:16,19:19:03
落石,19:24:00,19:25:00,19:23:52,19:25:00
別当賀,19:36:00,19:37:00,19:37:07,19:37:21
初田牛,19:45:00,19:45:00,19:46:30,19:46:40
厚床,19:54:00,19:54:00,19:53:32,19:54:30
姉別,20:02:00,20:03:00,20:01:42,20:03:00
浜中,20:13:00,20:14:00,20:14:16,20:14:30
茶内,20:21:00,20:22:00,20:21:18,20:22:00
糸魚沢,20:31:00,20:32:00,21:31:52,21:32:05
厚岸,20:43:00,20:44:00,21:43:37,21:44:04
門静,20:49:00,20:50:00,20:49:21,20:50:00
尾幌,20:58:00,20:59:00,20:59:45,20:59:57
上尾幌,21:08:00,21:09:00,21:09:32,21:09:50
別保,21:25:00,21:25:00,21:25:20,21:25:31
武佐,21:30:00,21:31:00,21:30:28,21:30:55
東釧路,21:33:00,21:34:00,21:33:04,21:33:55
釧路,21:38:00,--,21:37:43,--
