
札幌,--,6:58:00,--,6:58:40
桑園,7:01:00,7:02:00,7:01:35,7:02:20
八軒,7:05:00,7:05:00,7:05:25,7:05:50
新川,7:07:00,7:08:00,7:07:56,7:08:22
新琴似,7:10:00,7:11:00,7:10:41,7:11:11
太平,7:13:00,7:13:00,7:13:12,7:13:41
百合が原,7:15:00,7:16:00,7:15:37,7:16:10
篠路,7:18:00,7:18:00,7:18:00,7:18:36
拓北,7:21:00,7:21:00,7:21:10,7:21:45
あいの里教育大,7:23:00,7:24:00,7:23:57,7:24:34
あいの里公園,7:26:00,7:27:00,7:27:07,7:27:34
石狩太美,7:31:00,7:32:00,7:31:59,7:32:40
石狩当別,7:38:00,--,7:38:45,--

石狩当別,--,7:45:00,--,7:45:16
北海道医療大学,7:49:00,7:50:00,7:49:53,7:50:50
石狩金沢,7:54:00,7:54:00,7:54:15,7:54:41
本中小屋,8:00:00,8:00:00,8:00:17,8:00:40
中小屋,8:05:00,8:05:00,8:04:55,8:05:33
月ヶ岡,8:09:00,8:10:00,8:09:35,8:10:20
知来乙,8:13:00,8:14:00,8:13:43,8:14:22
石狩月形,8:17:00,8:40:00,8:17:34,8:40:00
豊ヶ岡,8:46:00,8:47:00,8:46:49,8:47:25
札比内,8:51:00,8:51:00,8:51:14,8:51:35
晩生内,8:57:00,8:57:00,8:57:20,8:57:45
札的,9:01:00,9:02:00,9:01:55,9:02:20
浦臼,9:05:00,9:06:00,9:05:05,9:06:05
鶴沼,9:10:00,9:11:00,9:11:03,9:11:32
於札内,9:14:00,9:14:00,9:15:13,9:15:40
南下徳富,9:17:00,9:17:00,9:18:20,9:18:40
下徳富,9:21:00,9:21:00,9:21:35,9:22:00
新十津川,9:28:00,--,9:28:23,--

滝川,11:52:00,11:52:00,11:53:06,11:53:44
江部乙,,レ,11:58:52,
妹背牛,,レ,12:02:50,
深川,12:05:00,12:06:00,12:07:15,12:07:52
納内,,レ,12:12:20,
伊納,,レ,12:19:00,
近文,,レ,12:23:46,
旭川,12:25:00,--,12:27:41,--

旭川,--,13:35:00,--,13:35:13
旭川四条,,レ,13:37:39,
新旭川,,レ,13:39:30,
北旭川,,レ,13:41:30,
永山,,レ,13:44:08,13:45:04
北永山,,レ,13:46:40,
南比布,,レ,13:48:00,
比布,,レ,13:50:20,
北比布,,レ,13:53:25,
蘭留,,レ,13:55:00,
塩狩,,レ,13:58:30,
和寒,14:03:00,14:03:00,14:04:52,14:05:39
東六線,,レ,14:08:20,
剣淵,,レ,14:11:20,
北剣淵,,レ,14:13:00,
士別,14:15:00,14:15:00,14:16:07,14:17:05
下士別,,レ,14:20:25,
多寄,,レ,14:22:40,
瑞穂,,レ,14:24:45,
風連,,レ,14:26:40,
東風連,,レ,14:29:13,
名寄,14:29:00,14:31:00,14:31:24,14:34:28
日進,,レ,14:38:00,
北星,,レ,14:45:20,
智恵文,,レ,14:46:40,
智北,,レ,14:48:00,
南美深,,レ,14:50:00,
美深,14:50:00,14:50:00,14:52:50,14:53:46
初野,,レ,14:56:55,
紋穂内,,レ,14:58:25,
恩根内,,レ,15:04:40,
豊清水,,レ,15:09:27,15:11:20
天塩川温泉,,レ,15:14:55,
咲来,,レ,15:17:23,
音威子府,15:22:00,15:22:00,15:21:57,15:23:05
筬島,,レ,15:29:03,
佐久,,レ,15:46:43,
天塩中川,15:54:00,15:54:00,15:54:00,15:55:00
歌内,,レ,16:02:13,
問寒別,,レ,16:06:36,
糠南,,レ,16:09:00,
雄信内,,レ,16:13:52,
安牛,,レ,16:18:55,
南幌延,,レ,16:20:30,
上幌延,,レ,16:23:00,
